MSSV,Ho,Ten,Diem
19300171,Ardys,Toor,6.4
19300172,Genevra,Curren,7.9
19300173,Rhea,Boehike,4.9
19300174,Annaliese,Ulphia,9.6
19300175,Danny,Pond,5.7
19300176,Ellette,Lamoree,1.3
19300177,Mellicent,Kaja,8.1
19300178,Allis,Jalbert,1.2
19300179,Kylynn,Kirbee,6.4
19300180,Wilma,Si,9.6
19300181,Aimil,Jerold,5
19300182,Kalina,Edison,1.6
19300183,Helsa,Pelagias,9.3
19300184,Joceline,Bari,5.3
19300185,Selma,Wind,4.5
19300186,Cyndie,Publia,5.4
19300187,Corry,Melleta,8.1
19300188,Selma,Cosenza,3.2
19300189,Meghann,Hartnett,2.6
19300190,Sheree,Aida,3.6
19300191,Devina,Maxi,9.2
19300192,Julieta,Pandolfi,5.8
19300193,Barbara,Wind,7.2
19300194,Codie,Shaddock,4.4
19300195,Jobi,Zola,9
19300196,Emylee,Agle,2.5
19300197,Christy,Melan,4.3
19300198,Florie,Arley,2.5
19300199,Joceline,Lipson,2.1
19300200,Meghann,Sundin,3.5
19300201,Christian,Sherrie,7.1
19300202,Blake,Marisa,2.8
19300203,Tobe,Revkah,4.9
19300204,Ingrid,Haymes,7
19300205,Reeba,Greenwald,8.8
19300206,Consuela,Stilwell,4.2
19300207,Joy,Mullane,9.2
19300208,Fernande,Dermott,3.2
19300209,Pearline,Llovera,4.5
19300210,Nonnah,Sabella,8.6
19300211,Gabriellia,Goldina,9.5
19300212,Evaleen,Mauer,10
19300213,Katleen,Johnsson,9.6
19300214,Jennica,Aldric,3.4
19300215,Grier,Cyrie,9.3
19300216,Livvyy,Burnside,7.5
19300217,Kittie,Fennessy,5.5
19300218,Adriana,Janene,3.3
19300219,Netty,Gabrielli,3.6
19300220,Marita,Vary,1.6
19300221,Philis,Jeanne,3.3
19300222,Beth,Ludewig,4.4
19300223,Loree,Meter,4.7
19300224,Florie,Reneta,6.7
19300225,Ethel,Daniele,4.9
19300226,Gabriellia,Johanna,9.8
19300227,Deloria,Shirberg,2.2
19300228,Hettie,Allare,3.7
19300229,Bee,Ashely,5.7
19300230,Xylina,Ader,9.9
19300231,Queenie,Serilda,3.5
19300232,Eugine,Grimbly,7.6
19300233,Gratia,Mullane,9.2
19300234,Nickie,Gemini,8.5
19300235,Queenie,Greyson,6.2
19300236,Cassandra,Iiette,1.8
19300237,Lita,Giule,9.4
19300238,Nyssa,Montgomery,9.5
19300239,Lita,Marlie,4.2
19300240,Alleen,Velick,9.6
19300241,Leeanne,Pip,3.2
19300242,Bertine,Diogenes,4.1
19300243,Lory,Elisha,6.6
19300244,Beverley,Deny,9.5
19300245,Aeriela,Daegal,2.7
19300246,Gianina,Harl,1.1
19300247,Aili,Wilona,2.6
19300248,Juliane,Gibbeon,5.9
19300249,Binny,Sasnett,8
19300250,Tilly,Donell,2.2
19300251,Ira,Koehler,1.1
19300252,Renae,Mintz,6.3
19300253,Zaria,Afton,2.9
19300254,Lucille,Holbrook,5.3
19300255,Kalina,Magnolia,1.7
19300256,Vinita,Sinegold,4.6
19300257,Ayn,Libna,4
19300258,Netty,Alisia,6.2
19300259,Sashenka,Pacorro,4.8
19300260,Aubrie,Saree,8.2
19300261,Netty,Dudley,9.9
19300262,Ermengarde,Clie,3.6
19300263,Gui,Socha,2.6
19300264,Dorthy,Eiser,7.1
19300265,Babita,Berriman,6.9
19300266,Tatiania,Chabot,9.9
19300267,Lonnie,Garlinda,7.6
19300268,Brietta,Millda,8.8
19300269,Nanete,Drisko,9.8
19300270,Andeee,Giule,9.5
19300271,Ada,Thema,2.6
19300272,Dotty,Abbot,1
19300273,Shauna,Willie,3.1
19300274,Michaelina,Wyn,9
19300275,Tabbatha,Wilkinson,7.6
19300276,Annora,Chandler,6.5
19300277,Libbie,Jerald,1.1
19300278,Florie,Tillford,6.5
19300279,Fanny,Ax,9.5
19300280,Kaia,Dearborn,4.9
19300281,Kristan,Truc,10
19300282,Kimmy,Aaberg,9.3
19300283,Jasmina,Matthew,2.6
19300284,Marline,Maribeth,1.9
19300285,Rayna,Magnolia,4.7
19300286,Janeczka,Durante,4.5
19300287,Joane,Buffum,1.3
19300288,Larine,Brunell,1
19300289,Agathe,Birdella,4.9
19300290,Charlena,Carey,4.2
19300291,Kimberley,Alcott,5.9
19300292,Anallese,Engdahl,9.1
19300293,Vevay,Christal,5.9
19300294,Keelia,Nea,9.6
19300295,Netty,Friede,7.7
19300296,Madalyn,Francene,6.6
19300297,Merci,Keily,7.9
19300298,Gwenneth,Torray,9.6
19300299,Elie,Dimitris,4
19300300,Coral,Constancy,5.8
19300301,Gusella,Gavrila,9.5
19300302,Teriann,Dichy,9.4
19300303,Amii,Lipson,3.5
19300304,Selia,Phi,1.4
19300305,Daune,Eliathas,5
19300306,Belinda,Berard,7.6
19300307,Edyth,Lory,4.5
19300308,Marcelline,Abram,6.5
19300309,Roz,Tayib,5.5
19300310,Brooks,Afton,2.3
19300311,Lacie,Stacy,6.3
19300312,Romona,Stephie,8.1
19300313,Kathi,Cutlerr,9.9
19300314,Tobe,Jenness,8.4
19300315,Silvana,Jess,9.2
19300316,Paule,Terencio,7.4
19300317,Lanae,Franza,3.1
19300318,Lynnea,Mayeda,3.7
19300319,Lonnie,Vale,4.8
19300320,Claudina,Rosemary,9.7
19300321,Julieta,Cordi,4
19300322,Deedee,Papageno,3.6
19300323,Elise,Bendick,7.9
19300324,Silvana,Tyson,4
19300325,Riannon,Alejoa,1.7
19300326,Ethel,Isidore,4
19300327,Netty,My,2.9
19300328,Raf,Lumbard,4.6
19300329,Celestyna,Mayeda,7.3
19300330,Corene,Cressida,3.7
19300331,June,Oster,10
19300332,Grier,Papageno,4.7
19300333,Marleah,Allys,5.5
19300334,Mellicent,Natica,8.8
19300335,Lolita,Adrienne,4.6
19300336,Brandise,Juan,4.9
19300337,Wileen,Ailyn,4.3
19300338,Courtnay,Jary,7.3
19300339,Lelah,Bergman,1.9
19300340,Priscilla,Obed,3
19300341,Zondra,Jobi,2.5
19300342,Deane,Vacuva,9.6
19300343,Lorie,Taima,9.8
19300344,Dode,Hessler,9
19300345,Fawne,Chinua,3.3
19300346,Tilly,Michella,6.9
19300347,Quintina,Yorick,8.4
19300348,Jere,Goode,9.9
19300349,Elie,Maples,7.7
19300350,Paola,Brittani,9.7
19300351,Cathie,Rossner,3.9
19300352,Sam,Hurley,9.6
19300353,Benita,Leler,8.4
19300354,Annecorinne,Gilbertson,7.6
19300355,Ana,Kronfeld,6.1
19300356,Renie,Dituri,7.9
19300357,Hettie,Maples,3.3
19300358,Yolane,Halsey,8.1
19300359,Kore,Isacco,9.5
19300360,Sue,Shama,8.9
19300361,Georgetta,Revkah,5.5
19300362,Melanie,Clara,2.3
19300363,Ida,Brodench,5.9
19300364,Raina,Kat,1.6
19300365,Harmonia,Cressida,2
19300366,Amalie,Fontana,1.5
19300367,Brietta,Loleta,8.6
19300368,Mathilda,Malanie,1.1
19300369,Wileen,Laverne,9.8
19300370,Blinni,Ahab,6.5
19300371,Dorice,Barney,1.4
19300372,Camile,Genna,11
19300373,Harrietta,Flita,9.7
19300374,Lila,Afton,6.4
19300375,Ekaterina,Ashok,7.7
19300376,Gilligan,Sacken,9.1
19300377,Arabel,Talia,11
19300378,Damaris,Richers,11
19300379,Ariela,Bakerman,4.3
19300380,Harrietta,Shanley,3.8
19300381,Jordan,Kermit,3.6
19300382,Gwenneth,Toor,4.1
19300383,Priscilla,Niles,1.2
19300384,Marsiella,Campball,7.8
19300385,Brietta,Zitvaa,9.8
19300386,Caritta,Cyrie,7.9
19300387,Claudina,Stephie,3.1
19300388,Bettine,Annice,6.1
19300389,Trixi,Maribeth,9.1
19300390,Tonia,Santoro,8.6
19300391,Consuela,Giff,2.6
19300392,Julieta,Smitt,3.8
19300393,Merle,Uird,5.4
19300394,Morganica,Cath,3.8
19300395,Mathilda,Firmin,6.3
19300396,Iseabal,Lory,2.1
19300397,Kara-Lynn,Argus,5.5
19300398,Daune,Bakerman,6
19300399,Dorene,Destinee,3.9
19300400,Cacilie,Teryn,5.6
19300401,Babita,Giff,2.5
19300402,Ermengarde,Cullin,1.5
19300403,Alyda,Bates,1.3
19300404,Hyacinthe,Carvey,1.3
19300405,Sindee,Kimmie,7.1
19300406,Raf,Bultman,5.4
19300407,Rebeca,Stefa,1.3
19300408,Elvira,Ardeha,2.3
19300409,Daryl,Voletta,9.2
19300410,Melanie,Felecia,6.3
19300411,Raquela,Middleton,11
19300412,Rayna,Gino,4.4
19300413,Deirdre,Zrike,2.3
19300414,Noelle,Larochelle,3.2
19300415,Ethel,Granoff,3.5
19300416,Rosene,Sancho,3.6
19300417,Cherilyn,Arquit,2.4
19300418,Ardenia,Elisha,5.5
19300419,Raquela,Tyson,9.7
19300420,Viviene,Adrienne,2.7
19300421,Paola,Thilda,2.2
19300422,Ana,Lalitta,4.5
19300423,Marnia,Libna,4
19300424,Kial,Macey,4.3
19300425,Amara,Peonir,9.4
19300426,Lorenza,Jarib,2.3
19300427,Elena,Calhoun,4.1
19300428,Lily,Shirberg,1.2
19300429,Melanie,Darian,9.1
19300430,Hayley,Geffner,6.4
19300431,Grier,Hoban,6.2
19300432,Nikki,Albertine,1.3
19300433,Sonni,Schonfeld,3.7
19300434,Trixi,Cutlerr,2.7
19300435,Rani,Ciapas,6.5
19300436,Cecile,Payson,9.3
19300437,Joleen,Michella,4.3
19300438,Ashlee,Kenwood,9
19300439,Harrietta,Serilda,4.1
19300440,Marylou,Lauraine,3.4
19300441,Darci,Ralfston,6.3
19300442,Ellette,Reinke,5.5
19300443,Ingrid,Rese,3.1
19300444,Carol-Jean,Kat,9.2
19300445,Joane,Aurelio,3.1
19300446,Candi,Cornelia,3.9
19300447,Kathy,Percy,6.9
19300448,Winifred,Merriott,2.3
19300449,Kimberley,Ummersen,3.7
19300450,Natka,Socha,4.1
19300451,Violet,Hilbert,1.2
19300452,Belinda,Willie,4.5
19300453,Dede,Taam,9.2
19300454,Cassondra,Carri,7
19300455,Adriana,Ball,7.5
19300456,Ulrike,Desai,6.1
19300457,Ilse,Alexandr,8.1
19300458,Lynea,Barrus,8.3
19300459,Candy,Brian,2.2
19300460,Ayn,Koziara,7.5
19300461,Camile,Alva,4.6
19300462,Fernande,Nunci,7.8
19300463,Collen,Vastah,6.4
19300464,Annecorinne,Rillings,8.2
19300465,Ezmeralda,Philipp,2.2
19300466,Angelique,Adlare,5.4
19300467,Danika,Birdella,3.5
19300468,Marsiella,Randene,2.5
19300469,Elyssa,Marden,7.7
19300470,Winifred,Colbert,3.2
19300471,Paule,Burnside,5.5
19300472,Alyda,Campball,7.1
19300473,Norine,Zaslow,1.7
19300474,Janenna,Lorenz,9
19300475,Chandra,Donoghue,2.5
19300476,Joceline,Morgun,9.4
19300477,Krystle,Afton,4.9
19300478,Phedra,Natalia,3.2
19300479,Carol-Jean,Flyn,8.7
19300480,Robinia,Trinetta,9.5
19300481,Moyna,Means,4.4
19300482,Fawne,Vilma,9.1
19300483,Vevay,Daegal,7.1
19300484,Eugine,Harned,5.2
19300485,Jenda,Pond,7.6
19300486,Lorenza,Calhoun,9
19300487,Orelia,Kendrick,8
19300488,Gianina,Reidar,9.6
19300489,Tera,Mallon,7.4
19300490,Gisela,Prober,4.3
19300491,Kamilah,Eachern,8
19300492,Nessie,Brenn,6.2
19300493,Brena,Mehalek,6
19300494,Coral,Cohdwell,4.2
19300495,Melanie,Hieronymus,10
19300496,Brynna,Thad,3.7
19300497,Rani,Lenny,9.3
19300498,Regina,Garrison,4.8
19300499,Grier,Skurnik,4.2
19300500,Charmaine,Bakerman,7.2
19300501,Alia,Riva,9.3
19300502,Evita,Odysseus,2.6
19300503,Gianina,Bevin,6.8
19300504,Beatriz,Haldas,8.7
19300505,Mamie,Georas,9.8
19300506,Emilia,Lytton,1.6
19300507,Hettie,Wyn,5.7
19300508,Alyda,Herrera,5.5
19300509,Noelle,Durante,4.8
19300510,Hettie,Tyson,9.6
19300511,Janeczka,Wind,7.6
19300512,Jemie,Olnee,7
19300513,Babita,Hertzfeld,4
19300514,Fina,Bonilla,8.4
19300515,Gabi,Lorenz,2.9
19300516,Melanie,Emmy,1.6
19300517,Stevana,Ackerley,9.7
19300518,Brana,Luhe,2.9
19300519,Candi,Nadia,2.5
19300520,Di,Amasa,9.1
19300521,Jordan,Yuille,1.7
19300522,Nerta,Nedrud,4.3
19300523,Jacenta,Bari,9.6
19300524,Aurore,Malvino,1.6
19300525,Kathy,Chesna,6.7
19300526,Carolina,Bakerman,5.4
19300527,Julieta,Nelsen,9.7
19300528,Celene,Dreda,5.6
19300529,Dari,Teddman,9.7
19300530,Julieta,Bethany,7.6
19300531,Kial,Pernick,5.3
19300532,Zaria,MacIntosh,6.4
19300533,Desirae,Cressida,8.2
19300534,Sashenka,Prouty,10
19300535,Kirbee,Kevon,4.5
19300536,Leanna,Paine,9.8
19300537,Angelique,Kylander,5.9
19300538,Shaylyn,Carlson,3.5
19300539,Ginnie,Millda,3.9
19300540,Rhea,Geffner,5.3
19300541,Louella,Land,9.2
19300542,Mady,Valoniah,9.6
19300543,Alejandra,Kauppi,7.4
19300544,Nessie,Martsen,5.4
19300545,Orsola,Alisia,9.9
19300546,Georgetta,Wilona,8.1
19300547,Lanae,Thad,4.3
19300548,Mireielle,Lynn,1.6
19300549,Darlleen,Clywd,1.4
19300550,Glynnis,Howlyn,1.9
19300551,Natka,Mata,5.3
19300552,Tracey,Si,2.5
19300553,Valeda,Constancy,3.1
19300554,Candi,Zola,5.1
19300555,Teddie,Doig,9.9
19300556,Nickie,Sammons,4.9
19300557,Therine,Sisile,6.6
19300558,Alisha,Cutlerr,2
19300559,Kittie,Melony,7.2
19300560,Darlleen,Colp,5
19300561,Leia,Shirberg,2.5
19300562,Alie,Parette,5.4
19300563,Vivia,Woodberry,7.2
19300564,Sindee,Joni,9.4
19300565,Willetta,Vernier,3.6
19300566,Jaime,Rudolph,3.8
19300567,Agnese,Pattin,2
19300568,Lorne,Lorenz,8.3
19300569,Ilse,Blake,2.6
19300570,Cathie,Charity,2
19300571,Cordi,Rugen,5.6
19300572,Danika,Radu,3.2
19300573,Gerrie,Sinegold,5.4
19300574,Lynnea,Sperling,4.1
19300575,Melanie,Goddard,6.9
19300576,Damaris,Georgy,5.3
19300577,Aili,Stav,7.4
19300578,Corene,Gale,9.6
19300579,Tiffie,Lipson,1.3
19300580,Fidelia,Earlie,1.4
19300581,Lexine,Heisel,8.9
19300582,Lita,Lissi,5.5
19300583,Danika,Ciro,8.4
19300584,Florie,Matthew,1.2
19300585,Althea,Dudley,7.2
19300586,Hyacinthe,Lynn,8.5
19300587,Valli,Stevy,7.8
19300588,Aaren,Rad,2.6
19300589,Steffane,Annice,9.7
19300590,Fanny,Eckblad,7.9
19300591,Betta,Screens,2.7
19300592,Dorice,LaRue,2.3
19300593,Perry,Rooney,4.4
19300594,Sindee,Odell,1.8
19300595,Amelia,Brunell,1.3
19300596,Marsiella,Posner,3.7
19300597,Maurene,Vharat,4.6
19300598,Leeanne,Ralfston,3.2
19300599,Joy,Slifka,4.5
19300600,Amalie,Mathilde,2.6
19300601,Daryl,Poppy,10
19300602,Dorothy,Zina,1.5
19300603,Cathyleen,Grobe,4.2
19300604,Cassondra,Peonir,6.8
19300605,Miquela,Hourigan,1.4
19300606,Ida,Hubert,8.8
19300607,Carolina,Zina,1.8
19300608,Marsiella,Hebner,8.1
19300609,Maye,Amand,9.8
19300610,Cordi,Crudden,6.5
19300611,Jemie,Merna,3.7
19300612,Dorene,Garbe,8.8
19300613,Winifred,Rad,7.8
19300614,Mady,Rillings,9.9
19300615,Shaine,Kirbee,1.3
19300616,Marti,Yerkovich,7.7
19300617,Magdalena,Franza,2.2
19300618,Cherilyn,Schlosser,3.4
19300619,Fanchon,Creamer,5.8
19300620,Britni,Philipp,3.8
19300621,Nanete,Ralfston,5.9
19300622,Georgetta,Schonfeld,5.8
19300623,Daryl,Lutero,1.2
19300624,Kore,Auberbach,9.2
19300625,Giustina,Penelopa,7.5
19300626,Shirlee,Romelda,1.7
19300627,Kaia,Roche,2.1
19300628,Dorene,Naor,1.6
19300629,Elyssa,Raul,1.8
19300630,Willetta,Bennie,9.8
19300631,Genovera,Marisa,4.7
19300632,Susette,Jaylene,9.1
19300633,Rosabelle,Anton,7
19300634,Christal,Gilmour,8.1
19300635,Gretal,Joseph,2.4
19300636,Konstance,Wolfgram,1.6
19300637,Elsie,Felizio,4.9
19300638,Max,Ellord,8.5
19300639,Regina,Couture,5.9
19300640,Joelly,Argus,4.7
19300641,Dorthy,Bobbee,6
19300642,Winifred,Buttaro,3.5
19300643,Harmonia,Gerge,3.7
19300644,Melina,Ashok,5
19300645,Raquela,Jess,6.7
19300646,Jeanna,Charity,4.8
19300647,Corly,Hertzfeld,8.3
19300648,Abbie,Fulmer,9.3
19300649,Briney,Valoniah,7.1
19300650,Feliza,Ashely,6
19300651,Aurore,Marden,3.6
19300652,Janis,Noman,7.8
19300653,Dale,Billye,6.2
19300654,Nannie,Ardeha,6.1
19300655,Nannie,Wolfgram,9.8
19300656,Brena,Ramona,7
19300657,Cordi,Lutero,5.1
19300658,Roslyn,Ietta,8.7
19300659,Kaia,Edison,7.4
19300660,Lila,Junie,2.2
19300661,Paulita,Amasa,8.6
19300662,Maye,Goode,3.9
19300663,Raf,Hanleigh,6.2
19300664,Roslyn,Wyn,6.3
19300665,Daryl,Suk,1.8
19300666,Bernie,Avi,5
19300667,Florencia,Jacqui,2.2
19300668,Zondra,Joachim,2.7
19300669,Binny,Aldric,3.1
19300670,Laure,Delila,8.7
19300671,Aeriela,Grayce,8.7
19300672,Heddie,Hashim,4.4
19300673,Ashlee,Latini,9.9
19300674,Nicoli,Dorothy,2.6
19300675,Glenda,Pillsbury,8.7
19300676,Siana,Agle,1.3
19300677,Georgina,Ulphia,8.6
19300678,Edith,Haerr,7.9
19300679,Clary,Girardo,1.4
19300680,Dania,Ummersen,7.3
19300681,Sharlene,Grimbly,8.4
19300682,June,Seagraves,7.3
19300683,Phedra,Roxanna,9.1
19300684,Katuscha,Dielu,1.3
19300685,Helsa,Nerita,9.5
19300686,Bill,Donoghue,4.3
19300687,Valli,Means,3.6
19300688,Isa,Stover,3.1
19300689,Dari,Darian,4.8
19300690,Riannon,Bevin,8.8
19300691,Elsie,Ader,5
19300692,Daphne,Phaidra,7.5
19300693,Hayley,Amadas,5.8
19300694,Goldie,Martsen,3.4
19300695,Yolane,Smitt,9.7
19300696,Jsandye,Fabiola,7.6
19300697,Bernardine,Orpah,6.2
19300698,Karena,Carbo,8.8
19300699,Helsa,Herrera,1.2
19300700,Alie,Lumbard,1.9
19300701,Mallory,Cyrie,9.3
19300702,Susan,Bakerman,4.8
19300703,Charmaine,Tillford,2.9
19300704,Roseline,Ade,4.6
19300705,Ada,Jarib,9.1
19300706,Darci,Cecile,4.6
19300707,Collen,Heisel,9.1
19300708,Edee,Hewitt,7
19300709,Fayre,Clie,6.3
19300710,Malina,Pacorro,5.9
19300711,Valli,Iaverne,6.8
19300712,Viviene,Fontana,9.8
19300713,Jillayne,Raseda,4.2
19300714,Binny,Damarra,6.6
19300715,Janis,Guildroy,9.8
19300716,Devina,Munn,9.4
19300717,Wendi,Cecile,1.5
19300718,Carly,Septima,7.5
19300719,Albertina,Kare,9.3
19300720,Lexine,Imelida,6
19300721,Kirstin,Dreda,9.6
19300722,Bill,Peti,7.5
19300723,Nyssa,Bord,6.6
19300724,Kamilah,Minetta,9.2
19300725,Georgina,Zachary,6.1
19300726,Henriette,Tristram,5.9
19300727,Marguerite,Joni,7.3
19300728,Tori,Hermes,9.4
19300729,Vivia,Dosia,9.5
19300730,Audrie,Smitt,6.1
19300731,Ashlee,Sallyann,3.6
19300732,Zia,Boehike,6.5
19300733,Marleah,Sharl,9.1
19300734,Valera,Loring,4.9
19300735,Cordi,Fitzsimmons,8
19300736,Livvyy,Obed,4.6
19300737,Gilligan,Newell,1.8
19300738,Nita,Baudin,7.2
19300739,Cherrita,Rolf,6.8
19300740,Bobinette,Johanna,8
19300741,Lanna,Bord,11
19300742,Viki,Fitzsimmons,3.8
19300743,Britni,Bevin,8.9
19300744,Gui,Rheingold,3.8
19300745,Nikki,Earlie,9.2
19300746,Juliane,Skell,3.8
19300747,Gloria,Karylin,9.4
19300748,Rani,Craggie,9.7
19300749,Tatiania,Bryna,5.9
19300750,Jacenta,Posner,2.6
19300751,Sean,Drus,5.5
19300752,Siana,Christine,9.8
19300753,Meghann,Hylan,6.2
19300754,Shauna,Pierette,3.6
19300755,Elbertina,Leifeste,2.7
19300756,Chere,Gerge,8.9
19300757,Goldie,Shields,7.5
19300758,Lily,Bouchard,2.7
19300759,Kaia,Vastah,3.5
19300760,Edyth,Moina,9.7
19300761,Kirstin,Teryn,9.5
19300762,Mamie,Garrison,1.1
19300763,Karena,Moina,10
19300764,Bill,Laurianne,1.4
19300765,Sindee,Han,9.7
19300766,Chloris,Dosia,7.6
19300767,Marsiella,Fiann,9.6
19300768,Emelina,Schwejda,1.7
19300769,Dede,Mozelle,2.5
19300770,Charlena,Denis,2.1
19300771,Zsa Zsa,Jammal,1.7
19300772,Veda,Karylin,1
19300773,Sibella,Publia,3.5
19300774,Mariele,Medrek,1.3
19300775,Jennica,Demitria,8.8
19300776,Clarice,Weaks,9.8
19300777,Jere,Zaslow,3.8
19300778,Flo,Milson,3.3
19300779,Mireielle,McClimans,4.4
19300780,Mignon,Cassius,5.1
19300781,Frieda,Vilma,3
19300782,Fred,Lane,4.9
19300783,Fred,Montgomery,2.9
19300784,Donnie,Persse,9.5
